,index,day,nP,nV,comm rate,discount,n trav,n drivers,fare,commision,revenue,income,mean wait rh,mean wait rp,mean travel rp,mean income,mean expected wait rh,mean expected wait rp,mean expected travel rp,mean expected income,mean prob rh,mean prob rs,n exp,learned rh,learned rp,learned,learned drivers,conv rp,conv rh,conv supply,shareability,n actually sharing,n shared rides,unserved,comm,shared,out,rh,rp,share out,share rh,share rp,share drivers,$c$,$p$,best_one
21,21,26.5,500,10,0.3,0.19999999999999998,14.666666666666666,0.6666666666666666,79.46633333333334,17.934933333333333,6.7998,-0.5589500000000006,309.03333333333336,428.5050505050505,364.3703703703704,-1.2426500000000014,818.8232777777779,827.17755,777.2549444444444,13.16726998352006,0.0100654846541866,0.01774079645331735,39.333333333333336,13.833333333333334,18.333333333333332,487.0,8.833333333333334,0.04480412350158917,0.031132756416061783,0.0,0.03530397142568709,1.3333333333333333,0.6666666666666666,7.833333333333333,0.3,0.19999999999999998,485.3333333333333,4.333333333333333,10.333333333333334,0.9706666666666667,0.008666666666666666,0.020666666666666667,0.06666666666666667,0.3,0.2,False
22,22,196.5,700,50,1.0999999999999999,0.09999999999999999,378.1666666666667,32.5,2265.2506333333336,191.51019999999983,2064.359733333333,1658.140983333333,80.03329453929379,80.90534333932762,359.42179792055964,51.44060921680321,88.58190476190477,99.74140476190475,355.03145238095243,49.8286442803009,0.19599520124588665,0.3442319622242378,700.0,695.0,691.0,692.0,8.0,9.68383632692821e-05,3.545262218157772e-05,0.006976732548771133,0.00420042144254751,4.333333333333333,2.1666666666666665,0.0,1.0999999999999999,0.09999999999999999,321.8333333333333,137.33333333333334,240.83333333333334,0.45976190476190476,0.1961904761904762,0.34404761904761905,0.65,1.1,0.1,False
23,23,196.5,700,40,1.0999999999999999,0.09999999999999999,365.1666666666667,29.666666666666668,2162.9785333333334,186.13676666666655,1999.3409333333332,1593.7334333333336,96.18315534821745,89.57700156388417,359.56961476986606,53.33940725197845,105.17021428571428,107.56602380952383,351.3867619047619,52.21517933750555,0.18552985189732055,0.33311473637272937,700.0,692.5,698.0,695.0,1.0,9.555882014798697e-06,2.166453900407082e-05,0.005951395152566201,0.005963007467199883,7.666666666666667,3.8333333333333335,0.0,1.0999999999999999,0.09999999999999999,334.8333333333333,131.0,234.16666666666666,0.47833333333333333,0.18714285714285714,0.3345238095238095,0.7416666666666667,1.1,0.1,False
24,24,196.5,100,20,0.09999999999999999,0.19999999999999998,12.833333333333334,0.8333333333333334,70.25153333333334,36.603,3.3287333333333335,-6.468350000000001,360.8194444444444,429.6452380952381,340.9976190476191,-9.232655555555555,539.1071666666668,556.6465000000001,534.0870000000001,13.433461950338526,0.04353893265576627,0.06351792715554941,89.0,44.666666666666664,50.333333333333336,88.83333333333333,20.0,0.01597152340961623,0.013075149043522276,0.0,0.00991501416430595,0.3333333333333333,0.16666666666666666,6.333333333333333,0.09999999999999999,0.19999999999999998,87.16666666666667,6.0,6.833333333333333,0.8716666666666667,0.06,0.06833333333333333,0.04166666666666667,0.1,0.2,False
25,25,196.5,100,30,0.09999999999999999,0.19999999999999998,15.5,0.8333333333333334,78.44386666666666,35.23426666666666,3.626,-7.566083333333334,339.72222222222223,320.72820512820516,341.5615384615385,-9.885433333333333,507.39766666666657,440.0201666666667,437.3819999999999,8.471283253050625,0.045159713353816446,0.12310031366184698,90.33333333333333,41.333333333333336,62.0,73.0,30.0,0.003912820550694268,0.002488027124224634,0.0,-0.005277650298301967,0.3333333333333333,0.16666666666666666,7.833333333333333,0.09999999999999999,0.19999999999999998,84.5,3.0,12.5,0.845,0.03,0.125,0.02777777777777778,0.1,0.2,False
26,26,16.5,900,10,0.09999999999999999,0.09999999999999999,11.5,0.0,70.3199,0.0,0.0,0.0,,,,,911.5493827160493,982.4291203703702,894.1870648148148,,0.005586207783917667,0.007149165063907534,4.0,2.0,2.3333333333333335,895.0,3.0,0.06374861229583954,0.062413048139510985,0.0,0.0,0.0,0.0,11.5,0.09999999999999999,0.09999999999999999,888.5,5.5,6.0,0.9872222222222222,0.006111111111111111,0.006666666666666667,0.0,0.1,0.1,False
27,27,62.5,100,50,1.0999999999999999,0.049999999999999996,44.333333333333336,7.666666666666667,262.92665,31.80286666666664,224.8862,172.14953333333332,138.95624477861318,143.1808822350489,346.94894580727913,25.567532632275135,164.30700000000002,155.26066666666668,338.9870000000001,24.719554617829175,0.15133816763959024,0.2835397323673357,100.0,90.5,96.0,89.0,45.166666666666664,0.0010814978776622498,0.0013182805833155998,0.004624346828232584,0.0,0.0,0.0,0.0,1.0999999999999999,0.049999999999999996,55.666666666666664,14.5,29.833333333333332,0.5566666666666666,0.145,0.29833333333333334,0.15333333333333335,1.1,0.05,False
28,28,196.5,900,40,0.9,0.19999999999999998,428.5,27.0,2404.5830666666666,485.26706666666655,1884.12,1473.1304166666666,123.97550425352455,126.48290435393834,410.4623107452713,55.65949824995255,130.58596296296295,131.10497530864197,395.1230740740741,53.20740102444239,0.17484496178151773,0.30762981918763255,900.0,878.8333333333334,897.1666666666666,885.0,4.0,0.0001517893516847917,0.00011125329022153333,0.0059124971787586494,0.06869199336753108,172.66666666666666,86.33333333333333,0.0,0.9,0.19999999999999998,471.5,150.0,278.5,0.5238888888888888,0.16666666666666666,0.30944444444444447,0.675,0.9,0.2,False
29,29,196.5,700,30,1.0999999999999999,0.09999999999999999,360.0,25.666666666666668,2137.070366666667,178.97506666666652,1949.868433333333,1554.8759333333335,96.8824812506727,100.35572395766542,359.5154784856199,61.2316644419523,109.89647619047622,113.43130952380953,353.07749999999993,60.091539163887795,0.18259132814540638,0.3294443775104443,700.0,693.0,695.0,695.0,0.0,0.0,0.0,0.0043917310528146505,0.00528587842493395,7.333333333333333,3.6666666666666665,0.0,1.0999999999999999,0.09999999999999999,340.0,127.16666666666667,232.83333333333334,0.4857142857142857,0.18166666666666667,0.33261904761904765,0.8555555555555556,1.1,0.1,False
30,30,196.5,500,30,0.7000000000000001,0.09999999999999999,172.0,11.0,1003.5531333333333,413.3614333333333,572.6336,357.69109999999995,192.8714613226189,210.44069469428328,349.8867156124659,34.29339075396825,260.6557,250.7357722222222,359.07752777777773,32.272854476754055,0.1203457128190441,0.22100898854119166,498.0,430.6666666666667,468.0,459.6666666666667,21.0,0.002489030589180483,0.0007336057958148408,0.008748515784044633,2.4331979707174163e-05,0.6666666666666666,0.3333333333333333,4.166666666666667,0.7000000000000001,0.09999999999999999,328.0,59.166666666666664,112.83333333333333,0.656,0.11833333333333333,0.22566666666666665,0.36666666666666664,0.7,0.1,False
