,fleet,fare,revenue,repl
300,25,0.6,29434.0,8
301,25,0.8,31001.0,8
302,25,1.0,23678.0,8
303,25,1.2,30048.0,8
304,25,1.4,26257.0,8
305,30,0.6,38200.0,8
306,30,0.8,27320.0,8
307,30,1.0,29992.0,8
308,30,1.2,32341.0,8
309,30,1.4,26769.0,8
310,40,0.6,37498.0,8
311,40,0.8,35084.0,8
312,40,1.0,35470.0,8
313,40,1.2,31117.0,8
314,40,1.4,34766.0,8
315,5,0.6,10504.0,9
316,5,0.8,12100.0,9
317,5,1.0,11397.0,9
318,5,1.2,9614.0,9
319,5,1.4,9385.0,9
320,10,0.6,17734.0,9
321,10,0.8,18642.0,9
322,10,1.0,19520.0,9
323,10,1.2,15776.0,9
324,10,1.4,15242.0,9
325,15,0.6,23267.0,9
326,15,0.8,29645.0,9
327,15,1.0,19275.0,9
328,15,1.2,18765.0,9
329,15,1.4,24618.0,9
330,20,0.6,28289.0,9
331,20,0.8,29181.0,9
332,20,1.0,25222.0,9
333,20,1.2,26408.0,9
334,20,1.4,21408.0,9
335,25,0.6,27582.0,9
336,25,0.8,29349.0,9
337,25,1.0,31652.0,9
338,25,1.2,25869.0,9
339,25,1.4,28196.0,9
340,30,0.6,32810.0,9
341,30,0.8,28264.0,9
342,30,1.0,29264.0,9
343,30,1.2,29597.0,9
344,30,1.4,31811.0,9
345,40,0.6,38496.0,9
346,40,0.8,31804.0,9
347,40,1.0,35736.0,9
348,40,1.2,35099.0,9
349,40,1.4,37382.0,9
