veh,nRIDES,nREJECTED,DRIVING_TIME,DRIVING_DIST,COMMISSION,REVENUE,COST,NET_INCOME,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,worked_days,experienced,perc_income,learned,util_d,util_nd,prob_d,drive_decision,day
8,9.0,0.0,4259.0,42.59,4.5934,41.3406,10.6475,30.6931,False,0,1667.0,120.0,160.0,0,1784.0,0,0.0,270.0,2475.0,15123.0,0,0,0,0,0,1,False,32.89875322148374,False,3.289875322148374,3.8817992885934958,0.3561935289305002,drive,1
9,17.0,0.0,7589.0,75.89,8.913799999999998,80.22419999999998,18.9725,61.251699999999985,False,0,17.0,195.0,245.0,0,2708.0,0,15.0,510.0,4881.0,13028.0,0,0,0,0,0,1,False,45.21800766100282,False,4.521800766100283,1.9154030644011322,0.9312721915944925,drive,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,40.845570806194495,False,4.08455708061945,3.9935221612389,0.5227430253841246,out,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,36.196845654869115,False,3.619684565486912,5.557543130973823,0.1258833041799286,out,1
12,16.0,0.0,5999.0,59.99,7.762019999999999,69.85817999999999,14.9975,54.86067999999999,False,0,648.0,165.0,220.0,0,1936.0,0,0.0,480.0,4063.0,14087.0,0,0,0,0,0,1,False,44.57358654509517,False,4.457358654509517,3.167930618038072,0.7840503626824437,drive,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,46.45980968378818,False,4.645980968378818,4.769255936757637,0.46922022732958624,out,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,24.428430237844964,False,2.4428430237844965,2.716668047568993,0.43196829934152875,out,1
15,16.0,0.0,7135.0,71.35000000000001,8.59068,77.31612000000001,17.837500000000002,59.47862000000001,False,0,60.0,171.0,239.0,0,2347.0,0,1.0,480.0,4788.0,13513.0,0,0,0,0,0,1,False,42.993590002884275,False,4.299359000288428,2.927294001153708,0.7977135803730044,out,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,21.952179450450743,False,2.195217945045074,4.390435890090148,0.1001807419185836,out,1
17,16.0,0.0,6982.0,69.82000000000001,7.760339999999999,69.84306,17.455000000000002,52.388059999999996,False,0,1115.0,180.0,240.0,0,2258.0,0,0.0,480.0,4724.0,12602.0,0,0,0,0,0,1,False,52.76495110001742,False,5.2764951100017425,7.543338440006969,0.09390646300373576,out,1
